train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,eval/success_rate,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/std,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,success_rate/env_0,reward/env_0,distance_reward/env_0,pose_reward/env_0,pose_reward/env_1,success_rate/env_1,reward/env_1,distance_reward/env_1,distance_reward/env_2,pose_reward/env_2,reward/env_2,success_rate/env_2,reward/env_3,distance_reward/env_3,pose_reward/env_3,success_rate/env_3,pose_reward/env_4,reward/env_4,success_rate/env_4,distance_reward/env_4,pose_reward/env_5,success_rate/env_5,distance_reward/env_5,reward/env_5,success_rate/env_6,distance_reward/env_6,reward/env_6,pose_reward/env_6,reward/env_7,distance_reward/env_7,pose_reward/env_7,success_rate/env_7,pose_reward/env_8,distance_reward/env_8,reward/env_8,success_rate/env_8,reward/env_9,pose_reward/env_9,success_rate/env_9,distance_reward/env_9,distance_reward/env_10,reward/env_10,success_rate/env_10,pose_reward/env_10,reward/env_11,success_rate/env_11,distance_reward/env_11,pose_reward/env_11,pose_reward/env_12,reward/env_12,distance_reward/env_12,success_rate/env_12,distance_reward/env_13,pose_reward/env_13,success_rate/env_13,reward/env_13,success_rate/env_14,reward/env_14,pose_reward/env_14,distance_reward/env_14,pose_reward/env_15,reward/env_15,distance_reward/env_15,success_rate/env_15
-0.0001800060272216797,0.0003,0.0069674733,10,0.0,0.0696990966796875,4830.949759101868,1916.692626953125,-8.504078513383865,-0.005622337017121027,0.2,0.997414767742157,48000,-145.68539477,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,-2050.324512022792,-6.854188160054063,-234.86656384374496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-203.21416455667006,0.0,-1856.7965057137892,-6.2519197289607575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-11.520722578864,-192.13909274030397,-1821.9588919150078,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2386.192245229133,-8.378026142793166,-289.3206813953958,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-153.32774371083286,-1571.7577299717377,0.0,-8.631877951123448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-258.2867170134155,0.0,-15.192569365748344,-2240.875718274975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-13.191258877196624,-2168.90269712973,-248.29252397775946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2158.310079147336,-21.718490802177406,-237.99985572237813,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-255.59011701673865,-18.82239864172682,-2246.475093950795,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2537.4628325269005,-312.48592451843245,0.0,-10.424547569384288,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.625394816012339,-2138.8736589238188,0.0,-243.85354833795762,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2175.0464565233056,0.0,-17.451069958488024,-245.05667279539685,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-272.3457664564354,-2356.8204307884985,-20.457638674981037,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.047396059166077,-392.01446209193216,0.0,-3024.371148906591,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1807.0910594109712,-193.68381900104532,-7.498024234116289,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-238.20081156840882,-2100.4050911680342,-11.866703626263483,0.0
4.1544437408447266e-05,0.0003,0.007084727,20,0.0,0.0797576904296875,3082.920907115936,1227.449462890625,-8.480240654945373,-0.006360561255496578,0.2,0.9934983253479004,96000,-159.36472802,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.271766662597656e-06,0.0003,0.0069410633,30,,0.069219970703125,1956.6852585792542,1022.5635375976562,-8.444231897592545,-0.0047905247193739346,0.2,0.9897261261940002,,,,0.0,-1934.0864832864688,15.517429956029014,-237.86517717044114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-219.98897596493592,0.0,-1752.4810510004215,27.908800798198584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19.931135405584147,-268.67603883431224,-2092.4694205723677,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1504.5188681887994,27.726883167257125,-178.48002786539084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-205.93755636636334,-1760.488256019952,0.0,12.522847029704527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-232.8264446426506,0.0,32.77009820417181,-1800.3380786308765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.489237009130413,-2040.770950290363,-261.6177287241908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1907.1289032404432,12.844590084686814,-230.69940729142687,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-206.0474761565414,24.774683425420783,-1687.6367563867243,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1761.118793607377,-214.72277872357753,0.0,21.202979789014528,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.52741165753023,-1566.4849714488423,0.0,-177.6082402323381,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1887.5931024545469,0.0,25.267778272086385,-239.86662868117702,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-257.8863659291989,-2049.6140511886633,16.28402406442093,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.895472700452952,-275.1163712847846,0.0,-2149.3253915059895,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1894.243148313492,-230.6522800893727,14.94508870379041,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-192.90515410021504,-1626.3324617170674,21.849743814036806,0.0
-1.2159347534179688e-05,0.0003,0.008910872,40,0.0,0.1109375,1841.7955212116242,489.24945068359375,-8.423139127343893,-0.004263386925049417,0.2,0.9837519526481628,144000,-153.26125390999997,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,-1455.4196524235062,46.32452136157704,-188.89446343216068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-130.57245762014864,0.0,-1122.496722016414,43.489670617413466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,34.313957528302154,-198.7014572178033,-1586.3249981370043,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1570.092039243498,42.99996324521653,-204.68196978579965,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-223.4197398855205,-1710.075902561879,0.0,38.407089458541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-211.3324470859551,0.0,43.803100754904044,-1605.1760779863077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.185934080286216,-1438.8857504444466,-188.00022582102812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1426.0089907438896,45.074351554840675,-182.7425166788218,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-184.57986738987893,40.19498150797836,-1466.3093152914016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1525.0793008781923,-202.64610737892136,0.0,48.466223899222534,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.74560477436458,-1516.1197385666153,0.0,-197.4322278688002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1788.3947067368615,0.0,32.04059491576996,-230.10637937191447,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-228.40993379383136,-1765.8863790005253,34.09553729374474,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.867558147900425,-218.18846584258557,0.0,-1615.9254461681141,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1880.0526448075695,-251.14722521148948,37.80511774356047,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-208.77464050346396,-1546.3107149644316,51.0561880093925,0.0
-3.5762786865234375e-07,0.0003,0.006882889,50,0.0,0.084259033203125,1041.3706049919128,527.0375366210938,-8.397635067999364,-0.003898822599876439,0.2,0.9802533984184265,192000,-153.52390846,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.384185791015625e-07,0.0003,0.0072000306,60,,0.080487060546875,790.5817289829254,500.97564697265625,-8.343407901376485,-0.005185776142752729,0.2,0.9678093791007996,,,,0.0,-1390.309579423474,65.56716751183023,-197.28543074907637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-203.35042579319668,0.0,-1493.807310440243,54.38254071982234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,69.36619374846212,-160.3598016508479,-1145.9616474143136,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1338.8918279827683,66.36862932963206,-189.5172673267601,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-175.07246910503815,-1190.1279818289283,0.0,76.71780546688336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-216.50729136781993,0.0,61.32714870137728,-1531.080855998656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.7202358235056,-1436.018119185837,-206.05658902114538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1080.8821342064043,72.36796826846957,-152.51499063620352,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-195.63849235933674,56.148786269363605,-1436.938236539838,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1548.0328708031552,-212.39417524017298,0.0,54.388696772980936,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41094960289957,-1215.0430178458314,0.0,-162.91811924387187,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1073.781827864702,0.0,77.97319972889537,-156.93683770634598,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-208.2632859069494,-1434.3028288176235,69.21281443734534,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.228022739828106,-253.06002338188054,0.0,-1774.9920038523155,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1578.9675226694308,-223.29787463104452,60.13662085280647,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-193.2283811707053,-1367.3075753855085,65.3437852731206,0.0
